cn_0	中國	01.AI	李開復創辦的大模型公司，做基礎模型與企業應用	Yi 系列模型；萬知
cn_1	中國	4Paradigm (第四範式)	企業級 AI 決策平台，服務金融、零售、製造	先知 AI 平台；式說大模型
cn_101	中國	China Datang Corp Sci Technology Research	大唐集團科研院，發電央企	電力智能運維
cn_103	中國	China Electronic Technology Group Corp	中國電子科技集團（中國電科），國防電子央企	雷達、電子系統
cn_105	中國	China Merchants Bank	招商銀行，零售銀行，自研金融 AI	招行 AI 客服與風控
cn_106	中國	China Mobile	中國移動，電信運營商，自研九天大模型	九天大模型
cn_107	中國	China National Petroleum Corp	中國石油集團，油氣央企	崑崙大模型
cn_110	中國	China Petro Chem Corp	中國石化，煉化央企	長城大模型
cn_117	中國	China State Constr Eng Corp	中國建築，建築業央企	建築智能化
cn_118	中國	China Telecom Corp Ltd	中國電信，自研星辰大模型	星辰（TeleChat）大模型
cn_119	中國	China Unicom	中國聯通，自研元景大模型	元景大模型
cn_121	中國	CHN Energy Investment Group Co Ltd	國家能源集團，煤電央企	擎源電力大模型
cn_122	中國	Chongqing Changan Automobile Co Ltd	長安汽車，整車與智駕	深藍、阿維塔；天樞智駕
cn_123	中國	Chongqing Sailisi New Energy Vehicle	賽力斯，問界汽車製造商	問界系列
cn_126	中國	CloudWalk Technology (雲從科技)	計算機視覺與人機協同	從容大模型；人臉識別
cn_127	中國	COMAC	中國商飛，民用客機制造	C919
cn_129	中國	CRRC Times Robot (中車時代機器人)	中車旗下，軌道交通巡檢機器人	巡檢機器人
cn_13	中國	Aqrose Technology (阿丘科技)	工業 AI 視覺檢測	AIDI 平台
cn_134	中國	DeepBlue Technology	深蘭科技，AI 機器人與自動駕駛小車	熊貓智能公交；服務機器人
cn_135	中國	DeepGlint	格靈深瞳，計算機視覺	人臉識別；視頻分析
cn_137	中國	DeepRobotics	雲深處科技，四足與人形機器人	絕影系列四足機器人
cn_140	中國	DeepWay (深向科技)	百度孵化，電動智能重卡	星辰重卡
cn_142	中國	DiDi	滴滴出行，網約車平台，佈局自動駕駛	滴滴自動駕駛 Robotaxi
cn_143	中國	Digital China	神州數碼，IT 分銷與雲服務	神州問學 AI 平台
cn_145	中國	DOBOT (越疆科技)	協作機器人與人形機器人	CR 協作機器人；Atom 人形
cn_146	中國	Dongfeng Autonomous (東風自動駕駛)	東風汽車旗下自動駕駛業務	自動駕駛卡車與乘用車
cn_147	中國	Dreame Technology (追覓科技)	掃地機器人與高速電機	掃地機器人
cn_149	中國	Ecovacs Robotics (科沃斯機器人)	掃地機器人龍頭	地寶掃地機器人
cn_15	中國	Autel Robotics Co Ltd	道通智能，消費及工業無人機	EVO 系列無人機
cn_150	中國	Emotibot (竹間智能)	情感計算與企業對話 AI	Bot Factory
cn_151	中國	EngineAI	眾擎機器人，人形機器人	SE01、PM01 人形機器人
cn_152	中國	Envision Energy	遠景能源，風電與儲能，AI 用於能源管理	EnOS 智能物聯平台；風機
cn_153	中國	EVE Energy Co Ltd	億緯鋰能，鋰電池製造	動力與儲能電池
cn_155	中國	FAW Nanjing Technology Dev Co Ltd	一汽南京研發中心，智能網聯	智能座艙與智駕
cn_158	中國	ForwardX Robotics (前向啟創)	倉儲物流 AMR 機器人	Flex 系列 AMR
cn_159	中國	Foxconn Industrial Internet	工業富聯，電子製造與 AI 服務器	AI 服務器；燈塔工廠
cn_16	中國	Autohome Inc	汽車之家，汽車資訊與交易平台	汽車之家大模型應用
cn_160	中國	Galbot	銀河通用，通用具身機器人	Galbot G1
cn_161	中國	Gaussian Robotics	高仙機器人，商用清潔機器人	清潔機器人
cn_162	中國	Geek+ PopPick (極智嘉PopPick)	極智嘉，倉儲物流機器人	PopPick 貨箱到人系統
cn_163	中國	Geely	吉利汽車集團，整車與智駕	千里浩瀚智駕；星睿大模型
cn_168	中國	Gientech Digital Technology Group Co Ltd	中電金信，金融科技	源啟平台
cn_170	中國	Glodon Co Ltd	廣聯達，建築數字化軟件	AecGPT 建築大模型
cn_173	中國	Great Wall Motor Co Ltd	長城汽車，整車與智駕	Coffee Pilot 智駕
cn_176	中國	Guangzhou Automobile Group Co Ltd	廣汽集團，整車與智駕	埃安；ADiGO 智駕
cn_18	中國	AVIC UAV (中航無人機)	中航工業旗下，大型軍民兩用無人機	翼龍系列無人機
cn_180	中國	Guangzhou Shirui Electronics Co Ltd	視源股份（CVTE）	希沃
cn_181	中國	Guangzhou Shiyuan Cvte Artificial Intelligence	視源股份（CVTE）AI 研究院	希沃教育大模型
cn_182	中國	Guangzhou XAG Technology Co Ltd	極飛科技，農業無人機與機器人	P 系列農業無人機
cn_183	中國	Guangzhou Xiaopeng Autonomous Driving	小鵬汽車自動駕駛業務	XNGP 智駕
cn_186	中國	H3C Artificial Intelligence Technology	新華三 AI 業務	百業靈犀大模型
cn_187	中國	Hai Robotics HAIPICK (海柔HAIPICK)	海柔創新，箱式倉儲機器人	HaiPick 系統
cn_188	中國	Haier Smart Home Co Ltd	海爾智家，家電與智能家居	HomeGPT；卡奧斯工業互聯網
cn_189	中國	Hangcha Group Co Ltd	杭叉集團，叉車，含無人叉車	智能叉車
cn_19	中國	Axera Semiconductor Co Ltd	愛芯元智，端側 AI 視覺芯片	AX 系列 AI 芯片
cn_195	中國	Haomo.ai (毫末智行)	長城汽車孵化的智駕公司	HPilot 智駕
cn_196	中國	HBIS Group Co Ltd	河鋼集團，鋼鐵央企	智能煉鋼
cn_200	中國	Hisense Group	海信集團，家電與顯示	星海大模型
cn_203	中國	Horizon Robotics	地平線，智駕芯片與算法	征程系列芯片；HSD 智駕
cn_205	中國	Huawei	華為，通信與終端巨頭，全棧 AI	盤古大模型；昇騰芯片；乾崑智駕
cn_207	中國	Humanoid Robot Shanghai Co Ltd	國地共建人形機器人創新中心	青龍人形機器人
cn_211	中國	Idriverplus (智行者)	低速無人駕駛與環衛機器人	蝸小白無人清掃車
cn_212	中國	iFLYTEK Co Ltd	科大訊飛，語音與大模型	訊飛星火大模型；翻譯機
cn_213	中國	Inceptio Technology	嬴徹科技，幹線物流自動駕駛重卡	軒轅自動駕駛系統
cn_214	中國	Industrial and Commercial Bank of China	工商銀行，全球最大銀行之一，自研金融大模型	工銀智湧大模型
cn_217	中國	Inspur Group	浪潮集團，服務器與雲	源大模型；AI 服務器
cn_22	中國	Bairongzhixin Beijing Technology Co Ltd	百融雲創，金融風控與營銷	風控模型
cn_220	中國	iSoftStone	軟通動力，IT 服務	天璇 AI 平台
cn_221	中國	Jack Technology Inc	傑克科技，縫紉設備與智能製造	智能縫製設備
cn_222	中國	JAKA Robotics (節卡機器人)	協作機器人	JAKA Zu 系列
cn_223	中國	JD Logistics Robotics (京東物流機器人)	京東物流的倉儲與配送機器人	無人倉；配送車
cn_224	中國	JD.COM	京東，電商與零售，自研言犀大模型	言犀（JoyAI）大模型
cn_23	中國	Banma Network Technology Co Ltd	斑馬智行，阿里與上汽合資的智能座艙系統	斑馬智行車機系統
cn_230	中國	KEENON Robotics (擎朗智能)	商用服務機器人	送餐機器人
cn_231	中國	Kepler Robotics (開普勒機器人)	人形機器人	先行者 K2
cn_233	中國	Kling AI	快手旗下視頻生成	可靈（Kling）視頻模型
cn_234	中國	Kuaishou Technology	快手，短視頻平台，自研可靈與快意模型	可靈；快意大模型
cn_235	中國	Leju Robotics (樂聚機器人)	人形機器人	夸父（KUAVO）
cn_236	中國	Lenovo	聯想，PC 與服務器，推 AI PC	AI PC；天禧智能體
cn_237	中國	Li Auto	理想汽車，新能源車企，自研 VLA 智駕	理想 i 系列；MindVLA
cn_238	中國	LimX Dynamics (靈犀機器人)	逐際動力，足式與人形機器人	TRON 1；Oli 人形
cn_239	中國	MagicLab	人形機器人	MagicBot
cn_24	中國	Baoshan Iron Steel Co Ltd	寶鋼股份，鋼鐵央企，AI 用於煉鋼與質檢	鋼鐵工業大模型應用
cn_242	中國	Mech-Mind Robotics (梅卡曼德機器人)	3D 視覺與機器人智能	Mech-Eye 相機
cn_247	中國	MicroPort MedBot (微創醫療機器人)	手術機器人	圖邁腔鏡手術機器人
cn_248	中國	Midea Group	美的集團，家電與機器人（控股庫卡）	美的大模型；庫卡工業機器人
cn_251	中國	MINIEYE (小覓智能)	佑駕創新，ADAS 與智駕	iPilot 智駕
cn_253	中國	Mobvoi	出門問問，語音交互與 AIGC	魔音工坊；TicWatch
cn_254	中國	Momenta	智駕算法公司，與多家車企量產合作	Mpilot；Robotaxi
cn_261	中國	Narwal Robotics (雲鯨智能)	掃拖機器人	雲鯨 J 系列
cn_262	中國	Neolix (新石器)	L4 無人配送車	新石器無人車
cn_263	中國	NetEase	網易，遊戲與互聯網	網易有道子曰大模型；伏羲 AI
cn_264	中國	NEURA Robotics China	德國 NEURA Robotics 中國業務	認知機器人
cn_265	中國	Neusoft Medical Systems Co Ltd	東軟醫療，醫學影像設備	CT、MR 設備
cn_268	中國	NIO	蔚來汽車，新能源車企，自研智駕芯片	神璣芯片；NOP+ 智駕
cn_269	中國	Noetix Robotics (納米智能)	松延動力，小型人形機器人	N2 人形機器人
cn_27	中國	Beijing Chehejia Automobile Technology	理想汽車的運營主體，新能源車企	理想 L 系列；自研智駕
cn_270	中國	NSFOCUS Technology Group Co Ltd	綠盟科技，網絡安全	風雲衛安全大模型
cn_272	中國	Nuctech Co Ltd	同方威視，安檢設備	安檢 CT
cn_273	中國	Oceanalpha (雲洲智能)	無人船	無人艇
cn_275	中國	Orbbec	奧比中光，3D 視覺傳感器	3D 相機
cn_276	中國	Origin Quantum Computing Technology Co	本源量子	悟空量子計算機
cn_280	中國	Ping An	中國平安，保險與金融科技	平安 AI 客服；醫療 AI
cn_283	中國	Pudu Robotics (普渡科技)	商用服務機器人	送餐與清潔機器人
cn_284	中國	QCraft (輕舟智航)	城市 NOA 智駕方案	乘用車智駕
cn_285	中國	Qi An Xin Technology Group Inc	奇安信，網絡安全	安全大模型 Q-GPT
cn_286	中國	Qihoo 360	360 集團，網絡安全與互聯網	360 智腦；納米 AI 搜索
cn_290	中國	Rainbow UAV Technology Co Ltd	彩虹無人機科技	彩虹系列
cn_291	中國	Reeman (銳曼智能)	服務機器人與底盤	配送機器人
cn_293	中國	Robint Technology (北京鋼鐵俠科技)	鋼鐵俠科技，人形機器人	ARTROBOT 人形
cn_294	中國	Roborock (石頭科技)	掃地機器人	石頭掃地機器人
cn_295	中國	RoboSense (速騰聚創)	車載激光雷達龍頭	M 系列激光雷達
cn_296	中國	ROBOTERA (星動紀元)	清華背景人形機器人	星動 L7；靈巧手
cn_297	中國	RockAI (矗石科技)	非 Transformer 架構大模型	Yan 模型
cn_298	中國	ROKAE (珞石機器人)	工業與協作機器人	xMate 協作機器人
cn_299	中國	Roobo / Unisound (儒博/雲知聲)	語音 AI 與醫療 AI	山海大模型
cn_3	中國	AgiBot Data (智元數據)	智元機器人旗下，做具身智能數據採集與數據集	AgiBot World 數據集
cn_30	中國	Beijing ESWIN Computing Technology Co	奕斯偉，半導體與 AI 芯片	RISC-V AI 芯片
cn_301	中國	SAIC GM Wuling Automobile Co Ltd	上汽通用五菱	五菱電動車
cn_302	中國	Sangfor Technology Co Ltd	深信服，網絡安全與雲	安全 GPT
cn_305	中國	SF Technology	順豐科技，物流 AI	智慧物流系統
cn_307	中國	Shanghai Bilibili Technology Co Ltd	嗶哩嗶哩，視頻社區	Index 大模型
cn_309	中國	Shanghai Electric Group Co Ltd	上海電氣，裝備製造	工業智能裝備
cn_31	中國	Beijing Eyecool Technology Co Ltd	眼神科技，多模態生物識別	虹膜、指紋、人臉識別
cn_310	中國	Shanghai Fourier Intelligence Co Ltd	傅利葉，康復與人形機器人	GR-1/GR-2 人形機器人
cn_311	中國	Shanghai Icekredit Information Technology	冰鑑科技，金融風控	風控模型
cn_312	中國	Shanghai Intsig Information Co Ltd	合合信息，文字識別	掃描全能王；名片全能王
cn_319	中國	Shanghai Suiyuan Technology Co Ltd	燧原科技，雲端 AI 訓練與推理芯片	邃思芯片
cn_321	中國	Shanghai Wuwen Xinqiong Intelligent Technology	無問芯穹，異構算力調度與推理優化	Infini-AI 平台
cn_326	中國	Shannon AI	香儂科技，NLP 與金融 AI	金融信息抽取
cn_328	中國	Shenlan Automobile Technology Co Ltd	深藍汽車，長安旗下	深藍 SL03
cn_33	中國	Beijing Hisign Technology Co Ltd	海鑫科技，公安刑偵生物識別	指紋、人像比對系統
cn_337	中國	Shenzhen Qianhai Webank Co Ltd	微眾銀行，數字銀行，聯邦學習	FATE 聯邦學習框架
cn_341	中國	Shenzhen Topstar Robot (深圳拓斯達)	拓斯達，工業機器人與自動化	多關節機器人
cn_342	中國	Shenzhen Ugreen Group Ltd	綠聯，消費電子配件	NAS
cn_346	中國	Shenzhen Zhuoyu Technology Co Ltd	卓馭科技，原大疆車載，智駕方案	成行平台
cn_347	中國	Shukun Technology Co Ltd	數坤科技，醫學影像 AI	數字人體 CT 分析
cn_349	中國	SmartMore (思謀科技)	工業 AI 視覺	SMore ViMo
cn_350	中國	Stardust Intelligent (星塵智能)	AI 家務機器人	Astribot S1
cn_351	中國	StepFun	階躍星辰，多模態大模型	Step 系列模型
cn_352	中國	Supcon Technology Co Ltd	中控技術，流程工業自動化	TPT 工業大模型
cn_356	中國	Syrius Robotics (炬星科技)	倉儲 AMR	揀貨機器人
cn_357	中國	TAL Education Group	好未來，教育科技	九章大模型；學習機
cn_358	中國	TCL	家電與顯示	TCL AI 電視
cn_359	中國	Tencent	騰訊，社交與遊戲巨頭，自研混元大模型	混元（Hunyuan）；元寶
cn_36	中國	Beijing Iluvatar Corex Semiconductor	天數智芯，國產通用 GPU	天垓、智鎧 GPGPU
cn_360	中國	Terminus Group (特斯聯)	智慧城市與 AIoT	城市大模型
cn_364	中國	Tongfang Knowledge Network Digital Publishing	中國知網	知網 AI
cn_366	中國	Transwarp	星環科技，大數據與 AI 平台	無涯大模型
cn_367	中國	Trip.com Group	攜程，在線旅遊	問道旅行大模型
cn_369	中國	Trunk.Tech (主線科技)	自動駕駛卡車	港口與幹線自動駕駛
cn_370	中國	UBTECH Robotics	優必選，人形與教育機器人	Walker S 人形機器人
cn_371	中國	UISEE (馭勢科技)	L4 無人駕駛，機場與廠區物流	無人物流車
cn_372	中國	ULS Robotics (傲鯊智能)	工業外骨骼	外骨骼
cn_374	中國	United Imaging Healthcare	聯影醫療，醫學影像設備	uAI 智能影像平台
cn_376	中國	Verisilicon Microelectronics Shanghai Co	芯原股份，芯片設計服務與 IP	NPU IP
cn_378	中國	vivo	智能手機	藍心大模型
cn_379	中國	WAYTOUS (慧拓智能)	礦區無人駕駛	礦卡無人駕駛
cn_38	中國	Beijing Jingwei Hirain Technology Co Ltd	經緯恆潤，汽車電子與智能駕駛	ADAS 控制器；測試系統
cn_380	中國	Weilan Robotics (蔚藍智能)	消費級四足機器人	阿爾法機器狗
cn_381	中國	WeRide	文遠知行，L4 自動駕駛	Robotaxi；Robobus
cn_382	中國	Westwell Lab	西井科技，港口自動駕駛	Q-Truck
cn_384	中國	White Rhino (白犀牛)	無人配送車	城市無人配送
cn_386	中國	Winning Health Technology Group Co Ltd	衛寧健康，醫療信息化	WiNGPT
