cn_0	01.AI	李開復創辦的大模型公司，做基礎模型與企業應用	客戶多是要把模型放進自家機房的企業，像金融、能源、零售的資訊部門。做的是把內部規章、產品手冊、客服紀錄餵進私有部署的模型，讓員工用問答取代翻文件，另做電商直播的數字人。原本這類需求靠外包寫規則話術，換個問法就答不出來。
cn_1	4Paradigm (第四範式)	企業級 AI 決策平台，服務金融、零售、製造	買的人是銀行風控與行銷部門、零售商會員營運、製造廠排程人員。任務是挑出哪些申請件會違約、哪些客戶值得發券、下月該備多少料。原本由統計人員用試算表逐案建模，一個模型要數週；平台把取數、訓練、上線包成流程，業務端自己就能跑。
cn_10	Anhui Zhongke Xingchi Autonomous Driving	中科星馳，自動駕駛	
cn_100	China Coal Res Inst Co Ltd	煤炭科學研究總院	服務對象是國有煤礦的礦長、通風科與安全監察單位。做的事很具體：替某個礦井設計開採順序與支護方式、規劃瓦斯抽採與通風網路、事故後鑑定原因、檢測井下設備。原本這些由礦上技術科憑經驗和舊圖紙決定，遇到深部高瓦斯礦層就沒有依據。
cn_101	China Datang Corp Sci Technology Research	大唐集團科研院，發電央企	不對外接單，使用者是集團旗下的燃煤電廠與新能源場站。解決的是現場問題：某台機組煤耗偏高該調哪些參數、脫硫設備怎麼改才能讓排放達標、風光併網後機組如何頻繁升降負荷。原本電廠只能照設備廠商交付的設計值運行，再靠值長經驗微調。
cn_103	China Electronic Technology Group Corp	中國電子科技集團（中國電科），國防電子央企	買方是解放軍各軍種和公安、氣象等政府部門。產出是預警機與艦艇上的雷達、電子偵察與干擾裝備、通訊和指揮系統，另承接政府信息化工程。這些裝備過去仰賴進口，集團下屬數十家研究所各守一段，由軍方按型號下訂單、分所配套交付。
cn_105	China Merchants Bank	招商銀行，零售銀行，自研金融 AI	AI 不對外賣，用在自家零售業務。客服機器人接手帳單查詢、額度調整等重複來電，原本由電話中心坐席一通通接；風控模型在信貸審批當下判斷申請人資料是否造假、交易是否像盜刷，原本要審批員翻徵信報告逐件看，可疑交易多半事後才發現。
cn_106	China Mobile	中國移動，電信運營商，自研九天大模型	模型主要給自己人用，其次給簽約的政企客戶。網路端拿來把幾千條基地台告警歸併成一個根因，原本由網管中心值班工程師照清單逐條排查；客服端接 10086 的問答與工單，減少轉接人工。對政企客戶則是連同算力一起賣，部署在對方機房。
cn_107	China National Petroleum Corp	中國石油集團，油氣央企	使用者是集團自己的勘探解釋人員與煉廠操作員。地震資料解釋原本由解釋員在工作站上一層層手工描線判斷斷層與儲層，一個工區耗時數月；模型先給出初判再由人修正。煉化端則把操作規程與歷史工況做成問答，讓當班人員直接問參數該怎麼調。
cn_108	China North Vehicle Res Institute	中國北方車輛研究所，兵器集團	對外代號 201 所，成果不進市場，交給軍方和集團內的兵工廠。負責的是履帶裝甲車輛從總體方案到傳動箱、懸掛、行動系統的設計與台架試驗，近年加做無人地面平台。這些底盤系統過去靠仿製蘇聯車型，換代時整車廠沒有自己的傳動設計能力。
cn_109	China Nuclear Power Technology Res Institute	中廣核研究院	成果給集團自家的核電站與出口機型用，不對外接案。做的是華龍一號機組的堆型設計、核燃料組件，以及核島數位化儀控系統和核電專用軟體。儀控與設計軟體原本得向法國、美國供應商買授權，改一個參數都要對方同意，出口時還受許可限制。
cn_11	Ant Group	支付寶母公司，金融科技，自研百靈大模型	面向支付寶上的個人用戶和接入的商戶、金融機構。風控引擎在每筆付款送出前的幾十毫秒內判斷是不是盜刷或洗錢，原本這類問題要事後對帳和用戶申訴才發現；支付寶裡的助手則接手查帳單、比保單、辦理賠這些原本要在各 App 間切換的事。
cn_110	China Petro Chem Corp	中國石化，煉化央企	使用者是煉廠與化工廠的技術人員、生產調度和研發崗。模型部署在公司內網，員工直接問工藝規程怎麼寫、某個裝置異常該查哪幾項、安全規定怎麼判，原本要翻幾百頁紙本規程或打電話問總部技術部門。對外不賣，定位是集團內部的問答平台。
cn_111	China Postal Savings Bank Co Ltd	郵儲銀行	客戶集中在縣城和鄉鎮：領養老金與低保的長者、務農戶、鄉鎮小微業主，很多人最近的銀行就是郵局櫃台。日常業務是代發補助、小額存單、涉農與個體戶貸款。這些地方原本只有農信社一家可選，辦貸款得託人情，網點密度是它的主要籌碼。
cn_114	China Railway Tunnel Group Co Ltd	中鐵隧道局	客戶是鐵路局、地方政府的地鐵公司和公路投資方。接的活是在山裡打鐵路公路隧道、在市區用盾構機推地鐵區間，含突水突泥和軟土地層的處理。這類工程原本以鑽爆加人工出渣為主，進度慢且塌方風險高；自研的盾構和巡檢設備供自家工地使用。
cn_116	China South Ind Group Ordnance Equipment	兵器裝備集團，軍工央企	軍品端的買方是陸軍，供應槍械彈藥和夜視、瞄準鏡等光電器材，按型號接軍方訂單；民品端做嘉陵摩托車和車用零部件，賣給一般消費者與整車廠。過去集團收入主力是長安汽車，該公司已被劃出獨立，剩下的民品規模因此大幅縮小。
cn_117	China State Constr Eng Corp	中國建築，建築業央企	業主是地方政府、國企和自家的地產開發項目，接的是機場航站樓、醫院、高層住宅從投標到交付的整包施工。建築智能化是在工地用模型管進度、用感測器盯深基坑位移和塔吊姿態，原本靠工長每天巡場、工人填紙本報表，出問題常是事後才知道。
cn_118	China Telecom Corp Ltd	中國電信，自研星辰大模型	客戶是規定資料不能出機房的政府單位和國企。模型開源讓對方下載到自家伺服器跑，用來寫公文、整理會議紀要、做方言口音重的來電轉寫，這也是自家 10000 號客服的需求。原本這些單位要嘛不敢用雲端模型，要嘛靠人工聽打與坐席處理。
cn_119	China Unicom	中國聯通，自研元景大模型	賣點是同一套模型切出十億到千億等多種尺寸，讓算力只有幾張卡的地方單位也能私有化部署，不必為了用模型先蓋機房。買的人多是省市政務、能源和交通單位的資訊部門，拿去做公文寫作、政策問答和工單分類，原本這些事靠科室人員手動處理。
cn_121	CHN Energy Investment Group Co Ltd	國家能源集團，煤電央企	使用者是集團火電廠的交易員、檢修班和安環崗。電力市場放開後每天要報次日各時段的電價與電量，原本由交易員憑經驗填表；模型接手預測與報價建議。檢修端則從振動、溫度數據判斷某台機組還能撐多久，取代照固定週期停機大修的做法。
cn_122	Chongqing Changan Automobile Co Ltd	長安汽車，整車與智駕	買車的是一般家庭。合資板塊靠長安福特、長安馬自達供貨，自主板塊的深藍、啟源和與華為合作的阿維塔則自己定義產品。天樞智駕是自研的輔助駕駛，做高速領航與自動泊車；這類功能原本整套向博世等供應商採購，車廠改不動也拿不到資料。
cn_123	Chongqing Sailisi New Energy Vehicle	賽力斯，問界汽車製造商	賣的是三十萬到五十萬級的家用休旅車，買主多是換車的城市家庭。分工很特別：華為決定車子長什麼樣、做座艙與智駕、用自家門市賣車，賽力斯負責建廠與製造交付。傳統車廠原本自己定義產品和通路，它等於把這兩塊讓出去換取銷量。
cn_124	CISDI Information Technology Co Ltd	中冶賽迪信息技術	客戶是國內鋼廠的生產與自動化部門。做的事是把高爐、轉爐、軋線的控制系統和生產數據匯到一個平台，操作員坐在集控中心遠端下指令。原本要在爐前高溫崗位輪班盯火、憑經驗調參，各工序數據各自留在自己的系統裡，出鋼品質波動很難追。
cn_125	CloudMinds (達闥科技)	雲端機器人與人形機器人	賣服務型與人形機器人給銀行網點、展館和養老機構做導覽、接待與陪伴。設計上機器人本體只負責感知與動作，對話和決策放在雲端，靠專屬網路連回，網路一斷機器就不太能動。近年陷入欠薪與資金斷鏈，業務大幅收縮，交付與售後都受影響。
cn_126	CloudWalk Technology (雲從科技)	計算機視覺與人機協同	客戶是銀行、機場和公安。實際場景是機場安檢口刷臉核對身分證件、銀行櫃台開戶時比對本人與證件照、警方在監控影像裡檢索特定人出現的時間地點。原本靠安檢員肉眼比對證件、民警調錄影一段段看，一個案子要看上幾十小時。
cn_127	COMAC	中國商飛，民用客機制造	客戶是國內三大航空公司，飛機交付後排進正班航線載客。它負責整機總體設計、機體結構和總裝，發動機、航電這些關鍵系統仍向國外供應商採購。國內幹線客機原本全數向波音、空巴採購，現在的瓶頸不在有沒有飛機，而在月產能和供應鏈交期。
cn_128	CRCC Zhongtie Robot (中鐵機器人)	中國鐵建機器人業務	
cn_129	CRRC Times Robot (中車時代機器人)	中車旗下，軌道交通巡檢機器人	使用者是地鐵公司和鐵路局的車輛段檢修工。列車回庫後原本要檢修工拿手電筒鑽進地溝，一輛一輛抬頭看車底的螺栓、閘瓦、管線有沒有鬆脫漏油，一列車要數十分鐘還容易漏看。機器人沿固定路線自動走位拍照，比對後只把異常點推給人覆核。
cn_13	Aqrose Technology (阿丘科技)	工業 AI 視覺檢測	客戶是 3C、汽車零部件和半導體封裝廠的品質部門。原本產線末端得排一排目檢員拿放大鏡看刮傷、漏焊、崩邊，看久了眼睛疲勞，每個人的判定標準不一樣。AIDI 讓廠內工程師不寫程式就能標註缺陷樣本、訓練模型，接上相機當場判定良莠。
cn_130	CSSC Zhihai Innovation Res Inst Co Ltd	中國船舶集團智能創新研究院	
cn_131	Cyborg Robotics (賽博機器人)	機器人初創	
