cn_0	01.AI	https://www.01.ai	李開復創辦的大模型公司，做基礎模型與企業應用	自己訓練通用模型，也部署到企業機房，讓員工用問答取代翻內部規章文件	客戶多是要把模型放進自家機房的企業，像金融、能源、零售的資訊部門。做的是把內部規章、產品手冊、客服紀錄餵進私有部署的模型，讓員工用問答取代翻文件，另做電商直播的數字人。原本這類需求靠外包寫規則話術，換個問法就答不出來。
cn_1	4Paradigm (第四範式)	https://www.4paradigm.com	企業級 AI 決策平台，服務金融、零售、製造	原本每個預測模型都要統計人員用試算表逐案做，一個花上數週，業務端插不上手	買的人是銀行風控與行銷部門、零售商會員營運、製造廠排程人員。任務是挑出哪些申請件會違約、哪些客戶值得發券、下月該備多少料。原本由統計人員用試算表逐案建模，一個模型要數週；平台把取數、訓練、上線包成流程，業務端自己就能跑。
cn_10	Anhui Zhongke Xingchi Autonomous Driving	（無官網）	中科星馳，自動駕駛		
cn_100	China Coal Res Inst Co Ltd	（無官網）	煤炭科學研究總院	替國有煤礦設計開採順序與通風抽採方案，也做事故原因鑑定與井下設備檢測	服務對象是國有煤礦的礦長、通風科與安全監察單位。做的事很具體：替某個礦井設計開採順序與支護方式、規劃瓦斯抽採與通風網路、事故後鑑定原因、檢測井下設備。原本這些由礦上技術科憑經驗和舊圖紙決定，遇到深部高瓦斯礦層就沒有依據。
cn_101	China Datang Corp Sci Technology Research	（無官網）	大唐集團科研院，發電央企	不對外接單，替自家的燃煤電廠與新能源場站解決煤耗偏高、排放超標這些現場問題	不對外接單，使用者是集團旗下的燃煤電廠與新能源場站。解決的是現場問題：某台機組煤耗偏高該調哪些參數、脫硫設備怎麼改才能讓排放達標、風光併網後機組如何頻繁升降負荷。原本電廠只能照設備廠商交付的設計值運行，再靠值長經驗微調。
cn_103	China Electronic Technology Group Corp	https://www.cetc.com.cn	中國電子科技集團（中國電科），國防電子央企	下轄數十家研究所，替軍方做雷達、電子偵察與指揮通訊裝備，也承接政府信息化工程	買方是解放軍各軍種和公安、氣象等政府部門。產出是預警機與艦艇上的雷達、電子偵察與干擾裝備、通訊和指揮系統，另承接政府信息化工程。這些裝備過去仰賴進口，集團下屬數十家研究所各守一段，由軍方按型號下訂單、分所配套交付。
cn_105	China Merchants Bank	https://www.cmbchina.com	招商銀行，零售銀行，自研金融 AI	做個人存貸與信用卡的銀行，模型不對外賣，用在客服來電和信貸審批時的造假判斷	AI 不對外賣，用在自家零售業務。客服機器人接手帳單查詢、額度調整等重複來電，原本由電話中心坐席一通通接；風控模型在信貸審批當下判斷申請人資料是否造假、交易是否像盜刷，原本要審批員翻徵信報告逐件看，可疑交易多半事後才發現。
cn_106	China Mobile	https://www.chinamobileltd.com	中國移動，電信運營商，自研九天大模型	模型先用在自家網路告警歸併與客服問答，再連同算力一起賣給政企客戶	模型主要給自己人用，其次給簽約的政企客戶。網路端拿來把幾千條基地台告警歸併成一個根因，原本由網管中心值班工程師照清單逐條排查；客服端接 10086 的問答與工單，減少轉接人工。對政企客戶則是連同算力一起賣，部署在對方機房。
cn_107	China National Petroleum Corp	https://www.cnpc.com.cn	中國石油集團，油氣央企	模型只給集團內部用，上游拿來判讀地震資料，下游讓煉廠人員直接問操作參數	使用者是集團自己的勘探解釋人員與煉廠操作員。地震資料解釋原本由解釋員在工作站上一層層手工描線判斷斷層與儲層，一個工區耗時數月；模型先給出初判再由人修正。煉化端則把操作規程與歷史工況做成問答，讓當班人員直接問參數該怎麼調。
cn_108	China North Vehicle Res Institute	（無官網）	中國北方車輛研究所，兵器集團	履帶裝甲車底盤長年靠仿製蘇聯車型，換代時整車廠沒有自己的傳動設計能力	對外代號 201 所，成果不進市場，交給軍方和集團內的兵工廠。負責的是履帶裝甲車輛從總體方案到傳動箱、懸掛、行動系統的設計與台架試驗，近年加做無人地面平台。這些底盤系統過去靠仿製蘇聯車型，換代時整車廠沒有自己的傳動設計能力。
cn_109	China Nuclear Power Technology Res Institute	https://www.cnpri.com.cn	中廣核研究院	核島儀控與設計軟體得向法美供應商買授權，改一個參數都要對方同意	成果給集團自家的核電站與出口機型用，不對外接案。做的是華龍一號機組的堆型設計、核燃料組件，以及核島數位化儀控系統和核電專用軟體。儀控與設計軟體原本得向法國、美國供應商買授權，改一個參數都要對方同意，出口時還受許可限制。
