cn_0	中國	01.AI	李開復創辦的大模型公司，做基礎模型與企業應用	Yi 系列模型；萬知	Yi 是開源大語言模型系列，萬知為文件速讀、寫作與會議紀要的 AI 工作站	零一萬物，早期做 Yi 系列通用模型，後轉向為企業做行業大模型解決方案和私有化部署。
cn_1	中國	4Paradigm (第四範式)	企業級 AI 決策平台，服務金融、零售、製造	先知 AI 平台；式說大模型	先知是企業 AI 模型開發與部署平台，式說用生成式 AI 產出企業軟體	賣企業 AI 決策平台，幫銀行、零售、製造企業做精準營銷、風控和供應鏈預測，按項目與訂閱收費。
cn_10	中國	Anhui Zhongke Xingchi Autonomous Driving	中科星馳，自動駕駛			
cn_100	中國	China Coal Res Inst Co Ltd	煤炭科學研究總院			前身是1957年成立的國家級煤炭科研機構，現隸屬中國煤炭科工集團，做採礦工藝、礦井安全與成套裝備的研發和設計，成果透過集團體系賣給國有煤炭企業，屬於科研事業單位轉制而來的企業，不以市場化產品銷售為主。
cn_101	中國	China Datang Corp Sci Technology Research	大唐集團科研院，發電央企	電力智能運維		中國大唐集團的內部研發機構，不對外經營，任務是替集團旗下電廠解決燃煤機組節能、新能源併網和環保改造的技術問題，經費主要來自集團撥款與內部項目委託，成果以標準、專利和技改方案的形式回流到發電資產上。
cn_103	中國	China Electronic Technology Group Corp	中國電子科技集團（中國電科），國防電子央企	雷達、電子系統	軍用雷達與電子對抗、通訊裝備，供偵察預警與指揮系統使用	2002年由原電子工業部下屬研究所重組成立的央企，下轄數十家研究所和多家上市公司，收入主要來自軍用電子裝備訂單以及政府、行業的信息化工程，另涉足集成電路、網絡安全與智慧城市，是國防電子領域體量最大的國有集團。
cn_105	中國	China Merchants Bank	招商銀行，零售銀行，自研金融 AI	招行 AI 客服與風控	行內客服機器人處理零售業務問答，風控模型用於信貸審批與反詐	1987年在深圳成立，是中國第一家由企業法人持股的股份制銀行，大股東為招商局集團。以零售銀行和財富管理見長，利潤來自淨利息收入加上代銷、託管等中間業務，A股與H股兩地上市，AI 投入集中在自用的風控與客服系統。
cn_106	中國	China Mobile	中國移動，電信運營商，自研九天大模型	九天大模型	千億參數多模態基座模型，用於電信客服、網路維運等內部場景	用戶數全球最大的電信運營商，收入以個人移動通信為主，近年增量主要靠政企業務，包括移動雲、專線和行業數字化項目。由國務院國資委控股，在香港和上海兩地上市，自研大模型主要服務內部網絡運維與集團客戶。
cn_107	中國	China National Petroleum Corp	中國石油集團，油氣央企	崑崙大模型	面向油氣全產業鏈的行業模型，用於地震資料解釋、煉化操作建議等場景	油氣一體化央企，業務從勘探開採一路延伸到煉化、長輸管道和加油站，利潤主力在上游開採，獲利隨國際油價波動。旗下中國石油股份在上海與香港上市，並在中亞、中東和非洲持有海外油氣區塊。
cn_108	中國	China North Vehicle Res Institute	中國北方車輛研究所，兵器集團			兵器工業集團下屬的專業研究所，對外代號201所，長期承擔履帶式裝甲車輛的總體設計以及傳動、懸掛等底盤系統研發，近年延伸到無人地面平台。成果主要透過軍方採購和集團內部配套實現，不面向一般市場銷售。
cn_109	中國	China Nuclear Power Technology Res Institute	中廣核研究院			中國廣核集團設在深圳的研發主體，負責華龍一號等自主核電機組的設計研發，以及核燃料、數字化儀控和核電軟件的技術攻關。成果主要服務集團自有的核電項目與出口機型，屬於內部研發中心而非獨立商業公司。
cn_11	中國	Ant Group	支付寶母公司，金融科技，自研百靈大模型	百靈（Ling）大模型；支付寶 AI 助手		螞蟻集團，支付寶母公司，收入來自數字支付、信貸科技、理財和保險科技；AI 用於風控和支付寶智能體。
cn_110	中國	China Petro Chem Corp	中國石化，煉化央企	長城大模型	公司內部大模型平台，本地部署 DeepSeek，供石化研發與生產管理問答	以煉油、化工和成品油銷售為主的央企，原油大量依賴進口，獲利結構與中石油相反、下游占比更高，油價下跌反而有利煉化毛利。擁有全國規模最大的加油站網絡，近年在站點上加掛充電、換電和氫能業務。
cn_111	中國	China Postal Savings Bank Co Ltd	郵儲銀行			依託中國郵政的網點體系經營，近四萬個營業網點大多分佈在縣域和農村，存款來源充足而貸款投放相對保守，淨息差在國有大行中偏低。收入以淨利息為主，A股與H股兩地上市，是六大國有銀行中成立最晚的一家。
cn_114	中國	China Railway Tunnel Group Co Ltd	中鐵隧道局			中國中鐵旗下專攻隧道與地下工程的施工企業，承接鐵路、公路隧道和城市地鐵的盾構與礦山法工程，收入來自工程承包，訂單多為政府和鐵路系統項目。自身也投入盾構裝備和隧道巡檢設備的研製，用於自家工地。
cn_116	中國	China South Ind Group Ordnance Equipment	兵器裝備集團，軍工央企			1999年由原兵器工業總公司分拆而來的軍工央企，民品規模遠大於軍品，長期以長安汽車、嘉陵摩托等整車和摩托車業務作為主要收入來源，另有光電產品與車用零部件。2025年長安汽車被劃出、獨立成為央企。
cn_117	中國	China State Constr Eng Corp	中國建築，建築業央企	建築智能化		營收規模居全球前列的建築承包商，收入以房屋建築施工為主，另有基礎設施投資和房地產開發（中海地產）。訂單多來自政府與國企，毛利率薄、靠規模和週轉賺錢，回款週期長，在上海證券交易所上市。
cn_118	中國	China Telecom Corp Ltd	中國電信，自研星辰大模型	星辰（TeleChat）大模型	TeleChat 系列開源大模型，含語音辨識與多方言處理能力	三大運營商中固網寬帶基礎最紮實的一家，近年重心放在天翼雲，已成為國內公有雲市場的主要供應商之一，另承接大量政企數字化與 IDC 項目。在香港和上海兩地上市，2021年從紐約證券交易所退市。
cn_119	中國	China Unicom	中國聯通，自研元景大模型	元景大模型	覆蓋十億到千億參數的開源模型系列，供政企客戶私有化部署	三大運營商中規模最小的一家，2017年引入騰訊、阿里、百度等戰略投資者進行混合所有制改革。為攤薄建網成本，與中國電信共建共享 5G 無線網絡，收入以移動和寬帶業務為主，政企與算力業務是近年增長來源。
cn_121	中國	CHN Energy Investment Group Co Ltd	國家能源集團，煤電央企	擎源電力大模型	千億參數發電行業模型，用於電力交易、設備檢修與安全環保決策	2017年由神華集團與國電集團合併而成，是全球最大的煤炭生產商和火電運營商之一。採「煤、電、運」一體化經營，自有鐵路和港口把自產煤直接送進自家電廠，收入主要來自煤炭銷售與發電，抗煤價波動能力強。
